nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
ABERGEMENT SAINT JEAN,39120,39385,46.90320,5.34440,0,39,Abergement-Saint-Jean
ABRIES,05460,05001,44.77170,6.97170,0,05,Abriès
ACCOLAY,89460,89130,47.67420,3.72100,0,89,Accolay
ACQUEVILLE,14220,14150,48.96450,-0.37610,0,14,Acqueville
AGONNAY,17350,17397,45.88190,-0.68590,0,17,Agonnay
AIGONNAY,79370,79185,46.28440,-0.27230,0,79,Aigonnay
AIGUEBELLE,73220,73212,45.53900,6.32310,0,73,Aiguebelle
AIGUEBLANCHE,73260,73003,45.51510,6.51620,0,73,Aigueblanche
AILLANT SUR THOLON,89710,89003,47.90040,3.32110,0,89,Aillant-sur-Tholon
AIME,73210,73006,45.56610,6.61190,0,73,Aime
AIRAN,14540,14005,49.08640,-0.19050,0,14,Airan
AIX EN DIOIS,26150,26001,44.71120,5.37770,0,26,Aix-en-Diois
AIX EN OTHE,10190,10003,48.22660,3.72180,0,10,Aix-en-Othe
AJOU,27410,27049,48.98690,0.67010,0,27,Ajou
ALAISE,25330,25223,47.01380,5.99860,0,25,Alaise
ALBENS,73410,73010,45.78650,5.91490,0,73,Albens
ALBIOSC,04800,04081,43.74000,5.99480,0,04,Albiosc
ALLAINES MERVILLIERS,28310,28199,48.19980,1.84740,0,28,Allaines-Mervilliers
ALLAINVILLE EN BEAUCE,45480,45240,48.21510,2.02150,0,45,Allainville-en-Beauce
ALLENWILLER,67440,67004,48.66010,7.35650,0,67,Allenwiller
ALTENSTADT,67160,67544,49.01840,7.96290,0,67,Altenstadt
AMBILLOU CHATEAU,49700,49003,47.27050,-0.32220,0,49,Ambillou-Château
AMBLAINCOURT,55250,55040,48.96580,5.21830,0,55,Amblaincourt
AMBLIMONT,08210,08311,49.59780,5.07520,0,08,Amblimont
AMBOURVILLE,76480,76020,49.45180,0.89600,0,76,Ambourville
AMFREVILLE LA CAMPAGNE,27370,27011,49.21880,0.92530,0,27,Amfreville-la-Campagne
AMFROIPRET,59570,59006,50.28240,3.74680,0,59,Amfroipret
AMIONS,42590,42268,45.88580,4.05780,0,42,Amions
AMMERTZWILLER,68210,68006,47.70250,7.18300,0,68,Ammertzwiller
AMPOIGNE,53200,53124,47.82120,-0.82730,0,53,Ampoigné
ANCE,64570,64225,43.15750,-0.69420,0,64,Ance
ANCEINS,61550,61167,48.84360,0.49510,0,61,Anceins
ANCTEVILLE,50490,50550,49.13420,-1.41170,0,50,Ancteville
ANCTOVILLE,14250,14581,49.13380,-0.69930,0,14,Anctoville
ANCY SUR MOSELLE,57130,57021,49.06450,6.04740,0,57,Ancy-sur-Moselle
ANDARD,49800,49307,47.46950,-0.37340,0,49,Andard
ANDEVANNE,08240,08437,49.41560,5.06660,0,08,Andevanne
ANDIGNE,49220,49176,47.63400,-0.75170,0,49,Andigné
ANDREZE,49600,49023,47.20280,-0.98440,0,49,Andrezé
ANERAN CAMORS,65240,65141,42.84330,0.43820,0,65,Anéran-Camors
ANETZ,44150,44163,47.40190,-1.10950,0,44,Anetz
ANGEY,50530,50565,48.74480,-1.44410,0,50,Angey
ANGLUS,52220,52088,48.44070,4.74760,0,52,Anglus
ANGOVILLE,14220,14150,48.96450,-0.37610,0,14,Angoville
ANGOVILLE AU PLAIN,50620,50099,49.30610,-1.21180,0,50,Angoville-au-Plain
ANGVILLER LES BISPING,57930,57086,48.81200,6.89600,0,57,Angviller-lès-Bisping
ANIZY LE CHATEAU,02320,02018,49.51590,3.44260,0,02,Anizy-le-Château
ANNECY LE VIEUX,74960,74010,45.90240,6.12640,0,74,Annecy-le-Vieux
ANNEVILLE SUR MER,50560,50215,49.10770,-1.53150,0,50,Anneville-sur-Mer
ANNOVILLE,50660,50272,48.95290,-1.53020,0,50,Annoville
ANTOIGNY,61600,61168,48.56880,-0.35920,0,61,Antoigny
ANTONAVES,05300,05118,44.25160,5.83380,0,05,Antonaves
