nom_norm,code_postal,code_insee,lat,lon,population,dept,nom
AAST,64460,64001,43.29220,-0.08290,202,64,Aast
ABAINVILLE,55130,55001,48.53100,5.52360,280,55,Abainville
ABANCOURT,59268,59001,50.23670,3.20870,441,59,Abancourt
ABANCOURT,60220,60001,49.69560,1.77020,569,60,Abancourt
ABAUCOURT,54610,54001,48.89030,6.26550,330,54,Abaucourt
ABAUCOURT HAUTECOURT,55400,55002,49.19980,5.54690,101,55,Abaucourt-Hautecourt
ABBANS DESSOUS,25320,25001,47.13450,5.87100,250,25,Abbans-Dessous
ABBANS DESSUS,25440,25002,47.12670,5.88770,282,25,Abbans-Dessus
ABBARETZ,44170,44001,47.55460,-1.49290,2073,44,Abbaretz
ABBECOURT,02300,02001,49.59970,3.18240,518,02,Abbécourt
ABBECOURT,60430,60002,49.35970,2.15610,879,60,Abbecourt
ABBENANS,25340,25003,47.49570,6.44940,321,25,Abbenans
ABBEVILLE,80100,80001,50.11010,1.83190,22395,80,Abbeville
ABBEVILLE LA RIVIERE,91150,91001,48.33690,2.19700,322,91,Abbéville-la-Rivière
ABBEVILLE LES CONFLANS,54800,54002,49.20050,5.84640,240,54,Abbéville-lès-Conflans
ABBEVILLE SAINT LUCIEN,60480,60003,49.52010,2.16700,499,60,Abbeville-Saint-Lucien
ABBEVILLERS,25310,25004,47.42630,6.91950,1071,25,Abbévillers
ABEILHAN,34290,34001,43.46000,3.30260,1850,34,Abeilhan
ABELCOURT,70300,70001,47.79470,6.27890,333,70,Abelcourt
ABERE,64160,64002,43.38860,-0.17400,156,64,Abère
ABERGEMENT LA RONCE,39500,39001,47.06530,5.37780,827,39,Abergement-la-Ronce
ABERGEMENT LE GRAND,39600,39002,46.91410,5.67850,61,39,Abergement-le-Grand
ABERGEMENT LE PETIT,39800,39003,46.90640,5.69730,46,39,Abergement-le-Petit
ABERGEMENT LES THESY,39110,39004,46.91090,5.94470,46,39,Abergement-lès-Thésy
ABIDOS,64150,64003,43.39370,-0.62710,222,64,Abidos
ABILLY,37160,37001,46.93900,0.74060,1116,37,Abilly
ABITAIN,64390,64004,43.41750,-0.99840,120,64,Abitain
ABJAT SUR BANDIAT,24300,24001,45.58250,0.76550,639,24,Abjat-sur-Bandiat
ABLAIN SAINT NAZAIRE,62153,62001,50.39890,2.69830,1994,62,Ablain-Saint-Nazaire
ABLAINCOURT PRESSOIR,80320,80002,49.84120,2.82660,263,80,Ablaincourt-Pressoir
ABLAINZEVELLE,62116,62002,50.15320,2.73950,208,62,Ablainzevelle
ABLANCOURT,51240,51001,48.81030,4.53100,168,51,Ablancourt
ABLEIGES,95450,95002,49.08730,1.97300,1108,95,Ableiges
ABLIS,78660,78003,48.52920,1.85650,3913,78,Ablis
ABLON,14600,14001,49.40070,0.28060,1166,14,Ablon
ABLON SUR SEINE,94480,94001,48.72360,2.42290,5988,94,Ablon-sur-Seine
ABOEN,42380,42001,45.40970,4.12700,481,42,Aboën
ABONCOURT,54115,54003,48.36050,5.98750,91,54,Aboncourt
ABONCOURT,57920,57001,49.25440,6.35580,320,57,Aboncourt
ABONCOURT GESINCOURT,70500,70002,47.76770,5.97430,216,70,Aboncourt-Gesincourt
ABONCOURT SUR SEILLE,57590,57002,48.81860,6.35760,67,57,Aboncourt-sur-Seille
ABONDANCE,74360,74001,46.25260,6.73340,1583,74,Abondance
ABONDANT,28410,28001,48.79830,1.42360,2434,28,Abondant
ABOS,64360,64005,43.35480,-0.54930,526,64,Abos
ABRESCHVILLER,57560,57003,48.60320,7.14510,1428,57,Abreschviller
ABREST,03200,03001,46.09620,3.45140,2915,03,Abrest
ABRIES RISTOLAS,05460,05001,44.77170,6.97170,374,05,Abriès-Ristolas
ABSCON,59215,59002,50.32930,3.29930,4108,59,Abscon
ABZAC,16500,16001,46.09990,0.71740,518,16,Abzac
ABZAC,33230,33001,45.01230,-0.12810,2048,33,Abzac
ACCOLANS,25250,25005,47.49080,6.53530,87,25,Accolans
ACCONS,07160,07001,44.89160,4.39440,361,07,Accons
ACCOUS,64490,64006,42.92160,-0.59930,471,64,Accous
ACHAIN,57340,57004,48.91710,6.58940,76,57,Achain
ACHEN,57412,57006,49.04830,7.18330,963,57,Achen
ACHENHEIM,67204,67001,48.58180,7.62910,2637,67,Achenheim
ACHERES,18250,18001,47.28280,2.46010,326,18,Achères
ACHERES,78260,78005,48.98170,2.10950,22241,78,Achères
ACHERES LA FORET,77760,77001,48.34760,2.56530,1191,77,Achères-la-Forêt
ACHERY,02800,02002,49.69350,3.39740,584,02,Achery
ACHEUX EN AMIENOIS,80560,80003,50.07160,2.53190,590,80,Acheux-en-Amiénois
ACHEUX EN VIMEU,80210,80004,50.06680,1.66880,501,80,Acheux-en-Vimeu
ACHEVILLE,62320,62003,50.38470,2.88150,576,62,Acheville
ACHEY,70180,70003,47.57400,5.60750,71,70,Achey
ACHICOURT,62217,62004,50.27230,2.75720,7873,62,Achicourt
ACHIET LE GRAND,62121,62005,50.13060,2.77850,974,62,Achiet-le-Grand
ACHIET LE PETIT,62121,62006,50.12850,2.75680,320,62,Achiet-le-Petit
ACHUN,58110,58001,47.13170,3.66050,160,58,Achun
ACHY,60690,60004,49.56240,1.97010,408,60,Achy
ACIGNE,35690,35001,48.14610,-1.51890,6874,35,Acigné
ACLOU,27800,27001,49.16750,0.69390,337,27,Aclou
ACON,27570,27002,48.76810,1.10500,478,27,Acon
ACOUA,97630,97601,-12.72490,45.06780,5192,976,Acoua
ACQ,62144,62007,50.35020,2.65400,783,62,Acq
ACQUIGNY,27400,27003,49.16160,1.17450,1733,27,Acquigny
ACQUIN WESTBECOURT,62380,62008,50.73330,2.07630,802,62,Acquin-Westbécourt
ACY,02200,02003,49.34760,3.41880,1004,02,Acy
ACY EN MULTIEN,60620,60005,49.11010,2.95370,821,60,Acy-en-Multien
ACY ROMANCE,08300,08001,49.49150,4.32690,479,08,Acy-Romance
ADAINCOURT,57580,57007,49.00640,6.44450,135,57,Adaincourt
ADAINVILLE,78113,78006,48.72060,1.66290,673,78,Adainville
ADAM LES PASSAVANT,25360,25006,47.30490,6.36920,88,25,Adam-lès-Passavant
ADAM LES VERCEL,25530,25007,47.16460,6.39040,105,25,Adam-lès-Vercel
ADAMSWILLER,67320,67002,48.90680,7.20170,407,67,Adamswiller
ADAST,65260,65001,42.97620,-0.07690,299,65,Adast
ADE,65100,65002,43.14430,-0.02750,856,65,Adé
ADELANGE,57380,57008,49.00770,6.60770,222,57,Adelange
ADELANS ET LE VAL DE BITHAINE,70200,70004,47.70770,6.39920,311,70,Adelans-et-le-Val-de-Bithaine
ADERVIELLE POUCHERGUES,65240,65003,42.79730,0.38940,142,65,Adervielle-Pouchergues
ADILLY,79200,79002,46.70110,-0.31880,310,79,Adilly
ADINFER,62116,62009,50.19130,2.70730,287,62,Adinfer
ADISSAN,34230,34002,43.53580,3.42540,1371,34,Adissan
ADON,45230,45001,47.75870,2.79250,188,45,Adon
ADRIERS,86430,86001,46.26210,0.78840,698,86,Adriers
AFA,20167,2A001,41.98100,8.79750,3350,2A,Afa
AFFIEUX,19260,19001,45.51110,1.76190,385,19,Affieux
AFFLEVILLE,54800,54004,49.26270,5.75790,172,54,Affléville
AFFOUX,69170,69001,45.84480,4.41160,398,69,Affoux
AFFRACOURT,54740,54005,48.46020,6.16550,113,54,Affracourt
AFFRINGUES,62380,62010,50.69010,2.06920,254,62,Affringues
AGASSAC,31230,31001,43.37400,0.88660,115,31,Agassac
AGDE,34300,34003,43.30840,3.48380,29939,34,Agde
AGEL,34210,34004,43.34980,2.85440,240,34,Agel
AGEN,47000,47001,44.20100,0.63020,32801,47,Agen
AGEN D AVEYRON,12630,12001,44.35090,2.69150,1116,12,Agen-d'Aveyron
AGENCOURT,21700,21001,47.12560,4.98830,416,21,Agencourt
AGENVILLE,80370,80005,50.17140,2.10780,83,80,Agenville
AGENVILLERS,80150,80006,50.17920,1.92100,215,80,Agenvillers
AGEVILLE,52340,52001,48.11020,5.33760,290,52,Ageville
AGEY,21410,21002,47.28840,4.76060,265,21,Agey
AGHIONE,20270,2B002,42.09340,9.40640,258,2B,Aghione
AGINCOURT,54770,54006,48.72940,6.23510,424,54,Agincourt
AGME,47350,47002,44.48940,0.34120,108,47,Agmé
AGNAC,47800,47003,44.64060,0.37880,482,47,Agnac
AGNAT,43100,43001,45.34350,3.45420,170,43,Agnat
AGNEAUX,50180,50002,49.11530,-1.12720,4286,50,Agneaux
AGNETZ,60600,60007,49.39440,2.37840,3058,60,Agnetz
AGNEZ LES DUISANS,62161,62011,50.30700,2.64610,621,62,Agnez-lès-Duisans
AGNICOURT ET SECHELLES,02340,02004,49.71720,3.96370,189,02,Agnicourt-et-Séchelles
AGNIERES,62690,62012,50.35070,2.60980,255,62,Agnières
AGNIN,38150,38003,45.33470,4.85980,1245,38,Agnin
AGNOS,64400,64007,43.15560,-0.63590,1044,64,Agnos
AGNY,62217,62013,50.25190,2.76000,1871,62,Agny
AGON COUTAINVILLE,50230,50003,49.02980,-1.58070,3020,50,Agon-Coutainville
AGONAC,24460,24002,45.27850,0.74150,1765,24,Agonac
AGONES,34190,34005,43.89900,3.72410,319,34,Agonès
AGONGES,03210,03002,46.62380,3.14900,300,03,Agonges
AGOS VIDALOS,65400,65004,43.03830,-0.07320,391,65,Agos-Vidalos
AGRIS,16110,16003,45.77530,0.33050,891,16,Agris
AGUDELLE,17500,17002,45.38360,-0.46940,131,17,Agudelle
AGUESSAC,12520,12002,44.15840,3.06690,929,12,Aguessac
AGUILCOURT,02190,02005,49.39530,3.96630,417,02,Aguilcourt
AGUTS,81470,81001,43.53330,1.92710,238,81,Aguts
AGY,14400,14003,49.23720,-0.77930,320,14,Agy
AHAXE ALCIETTE BASCASSAN,64220,64008,43.14100,-1.15710,261,64,Ahaxe-Alciette-Bascassan
AHETZE,64210,64009,43.40590,-1.56580,2104,64,Ahetze
AHEVILLE,88500,88002,48.28360,6.20070,67,88,Ahéville
AHUILLE,53940,53001,48.02210,-0.88030,1852,53,Ahuillé
AHUN,23150,23001,46.09170,2.02410,1394,23,Ahun
AHUY,21121,21003,47.36960,5.01790,1718,21,Ahuy
AIBES,59149,59003,50.23280,4.09150,350,59,Aibes
AIBRE,25750,25008,47.55320,6.69950,434,25,Aibre
AICIRITS CAMOU SUHAST,64120,64010,43.35450,-1.01410,699,64,Aïcirits-Camou-Suhast
AIFFRES,79230,79003,46.28310,-0.41470,5419,79,Aiffres
AIGALIERS,30700,30001,44.07030,4.30920,540,30,Aigaliers
AIGLEMONT,08090,08003,49.79090,4.76790,1692,08,Aiglemont
AIGLEPIERRE,39110,39006,46.95500,5.80960,412,39,Aiglepierre
AIGLEVILLE,27120,27004,49.00530,1.42400,414,27,Aigleville
AIGLUN,04510,04001,44.06320,6.14130,1399,04,Aiglun
AIGLUN,06910,06001,43.85520,6.93480,104,06,Aiglun
AIGNAN,32290,32001,43.69900,0.09100,720,32,Aignan
AIGNAY LE DUC,21510,21004,47.67360,4.74820,257,21,Aignay-le-Duc
